Signature Algorithm,Test Round,Rate Limit,Delay,Packet Loss,Success,Handshake Duration [ms]
sphincssha2256fsimple,46,10000.0,0,4,1,55.906045
sphincssha2256fsimple,47,10000.0,0,4,1,55.169847
sphincssha2256fsimple,48,10000.0,0,4,1,56.925630
sphincssha2256fsimple,49,10000.0,0,4,1,55.282406
sphincssha2256fsimple,50,10000.0,0,4,1,56.069149
sphincssha2256fsimple,51,10000.0,0,4,1,265.173300
sphincssha2256fsimple,52,10000.0,0,4,1,265.783618
sphincssha2256fsimple,53,10000.0,0,4,1,1060.803761
sphincssha2256fsimple,54,10000.0,0,4,1,265.492357
sphincssha2256fsimple,55,10000.0,0,4,1,1077.157918
sphincssha2256fsimple,56,10000.0,0,4,1,54.512683
sphincssha2256fsimple,57,10000.0,0,4,1,55.642000
sphincssha2256fsimple,58,10000.0,0,4,1,54.971314
